id_pregunta;pregunta;estrategia;rank;intervention_id;texto;nota_manual_1_a_7
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;1_Dense;1;i57747;las jornadas laborales para los conductores, en cuanto al sentido de la ley de las 40 horas, de hacer todas las armonizaciones en las normas antielusión, de permitir al Banco Central suscribir nuevas cuotas ante el Fondo Monetario Internacional, pero me parece excesivo incorporar aquí cuestiones tan sensibles como las materias que están contenidas en el Código de Aguas, en el Plan de Cambio Climático, etcétera.<br/>;3
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;1_Dense;2;i64830;las jornadas laborales para los conductores, en cuanto al sentido de la ley de las 40 horas, de hacer todas las armonizaciones en las normas antielusión, de permitir al Banco Central suscribir nuevas cuotas ante el Fondo Monetario Internacional, pero me parece excesivo incorporar aquí cuestiones tan sensibles como las materias que están contenidas en el Código de Aguas, en el Plan de Cambio Climático, etcétera.<br/>;3
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;1_Dense;3;i53492;idad que, dentro de una perspectiva de mediano plazo, nos debería insumar de mejores elementos para hablar no solamente del sueldo mínimo, porque sabemos que el sueldo mínimo no cubre las necesidades. Necesitamos avanzar en un salario vital. Por otra parte, necesitamos avanzar en la negociación ramal para que los trabajadores y trabajadoras puedan tener mejores herramientas de negociación. Por último, a quienes están tan preocupados por las pymes les digo que tenemos un subsidio que vamos a impl;2
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;1_Dense;4;i55200;las mascotas -tema sensible-, haya una parte de este Congreso que haya descubierto que la flexibilidad laboral beneficia al trabajador y no - como muchas veces dicen- a los grandes empresarios. Espero que esta norma de flexibilidad laboral sea el inicio de una discusión más profunda acerca de cómo introducir más normas de este tipo que beneficien a los trabajadores, para que puedan llevar adelante su proyecto de vida, que no es solo trabajar, para que puedan acordar con el empleador distintos re;5
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;1_Dense;5;i54914;por ciento de los votos a favor en la comisión, hay cabos sueltos. Primero, no concurre ni el Ministerio de Salud ni el Ministerio del Trabajo a patrocinar, a acompañar o a darnos su opinión en la Sala sobre este proyecto y, segundo, aunque disponga que las horas de ausencia sean recuperables, me parece que en algún grado esta iniciativa puede irrogar gastos. Me habría gustado, para poder apoyarlo, tener no solo la confirmación del Ministerio de Salud y del Ministerio del Trabajo, sino también c;2
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;2_GraphRAG;1;i57747;las jornadas laborales para los conductores, en cuanto al sentido de la ley de las 40 horas, de hacer todas las armonizaciones en las normas antielusión, de permitir al Banco Central suscribir nuevas cuotas ante el Fondo Monetario Internacional, pero me parece excesivo incorporar aquí cuestiones tan sensibles como las materias que están contenidas en el Código de Aguas, en el Plan de Cambio Climático, etcétera.<br/>;3
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;2_GraphRAG;2;i64830;las jornadas laborales para los conductores, en cuanto al sentido de la ley de las 40 horas, de hacer todas las armonizaciones en las normas antielusión, de permitir al Banco Central suscribir nuevas cuotas ante el Fondo Monetario Internacional, pero me parece excesivo incorporar aquí cuestiones tan sensibles como las materias que están contenidas en el Código de Aguas, en el Plan de Cambio Climático, etcétera.<br/>;3
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;2_GraphRAG;3;i53492;idad que, dentro de una perspectiva de mediano plazo, nos debería insumar de mejores elementos para hablar no solamente del sueldo mínimo, porque sabemos que el sueldo mínimo no cubre las necesidades. Necesitamos avanzar en un salario vital. Por otra parte, necesitamos avanzar en la negociación ramal para que los trabajadores y trabajadoras puedan tener mejores herramientas de negociación. Por último, a quienes están tan preocupados por las pymes les digo que tenemos un subsidio que vamos a impl;2
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;2_GraphRAG;4;i55200;las mascotas -tema sensible-, haya una parte de este Congreso que haya descubierto que la flexibilidad laboral beneficia al trabajador y no - como muchas veces dicen- a los grandes empresarios. Espero que esta norma de flexibilidad laboral sea el inicio de una discusión más profunda acerca de cómo introducir más normas de este tipo que beneficien a los trabajadores, para que puedan llevar adelante su proyecto de vida, que no es solo trabajar, para que puedan acordar con el empleador distintos re;5
Q1;1. ¿Qué argumentos a favor y en contra surgieron en el debate sobre la reducción de la jornada laboral a 40 horas semanales, considerando aspectos como la conciliación entre la vida familiar y el trabajo, la productividad y el efecto sobre las pymes?;2_GraphRAG;5;i54914;por ciento de los votos a favor en la comisión, hay cabos sueltos. Primero, no concurre ni el Ministerio de Salud ni el Ministerio del Trabajo a patrocinar, a acompañar o a darnos su opinión en la Sala sobre este proyecto y, segundo, aunque disponga que las horas de ausencia sean recuperables, me parece que en algún grado esta iniciativa puede irrogar gastos. Me habría gustado, para poder apoyarlo, tener no solo la confirmación del Ministerio de Salud y del Ministerio del Trabajo, sino también c;2
